DateKey,Year,Month,MonthName,Day,Decade,Semester,Season,Quarter,Weekday,WeekdayName,Local_time,Hour,Minutes
157,1948,10,October,Unknown,1940s,2nd Semester,Unknown,4th Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
158,1948,6,June,Unknown,1940s,2nd Semester,Unknown,3rd Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
159,1948,9,September,Unknown,1940s,2nd Semester,Unknown,4th Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
160,1948,5,May,Unknown,1940s,1st Semester,Unknown,2nd Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
161,1948,9,September,21,1940s,2nd Semester,Summer,4th Quarter,3,Tuesday,Unknown,Unknown,Unknown
162,1948,10,October,5,1940s,2nd Semester,Summer,4th Quarter,3,Tuesday,Unknown,Unknown,Unknown
163,1948,9,September,18,1940s,2nd Semester,Summer,4th Quarter,7,Saturday,Unknown,Unknown,Unknown
164,1949,8,August,5,1940s,2nd Semester,Summer,3rd Quarter,6,Friday,14:08,14,8
165,1949,4,April,19,1940s,1st Semester,Spring,2nd Quarter,3,Tuesday,23:29,23,29
166,1949,12,December,17,1940s,2nd Semester,Fall,4th Quarter,7,Saturday,02:53,2,53
167,1949,5,May,Unknown,1940s,1st Semester,Unknown,2nd Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
168,1949,7,July,Unknown,1940s,2nd Semester,Unknown,3rd Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
169,1949,Unknown,Unknown,Unknown,1940s,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
170,1949,8,August,Unknown,1940s,2nd Semester,Unknown,3rd Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
171,1949,10,October,Unknown,1940s,2nd Semester,Unknown,4th Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
172,1949,10,October,27,1940s,2nd Semester,Fall,4th Quarter,5,Thursday,Unknown,Unknown,Unknown
173,1950,8,August,15,1950s,2nd Semester,Summer,3rd Quarter,3,Tuesday,19:39,19,39
174,1950,9,September,1,1950s,2nd Semester,Summer,4th Quarter,6,Friday,Unknown,Unknown,Unknown
175,1950,11,November,Unknown,1950s,2nd Semester,Unknown,4th Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
176,1950,5,May,5,1950s,1st Semester,Spring,2nd Quarter,6,Friday,Unknown,Unknown,Unknown
177,1950,8,August,14,1950s,2nd Semester,Summer,3rd Quarter,2,Monday,Unknown,Unknown,Unknown
178,1950,7,July,8,1950s,2nd Semester,Spring,3rd Quarter,7,Saturday,21:35,21,35
179,1950,4,April,Unknown,1950s,1st Semester,Unknown,2nd Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
180,1950,7,July,11,1950s,2nd Semester,Spring,3rd Quarter,3,Tuesday,Unknown,Unknown,Unknown
181,1950,9,September,12,1950s,2nd Semester,Summer,4th Quarter,3,Tuesday,Unknown,Unknown,Unknown
182,1950,6,June,Unknown,1950s,2nd Semester,Unknown,3rd Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
183,1951,5,May,Unknown,1950s,1st Semester,Unknown,2nd Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
184,1951,2,February,Unknown,1950s,1st Semester,Unknown,1st Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
185,1951,8,August,28,1950s,2nd Semester,Summer,3rd Quarter,3,Tuesday,Unknown,Unknown,Unknown
186,1951,1,January,4,1950s,1st Semester,Winter,1st Quarter,5,Thursday,Unknown,Unknown,Unknown
187,1951,Unknown,Unknown,Unknown,1950s,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
188,1952,12,December,Unknown,1950s,2nd Semester,Unknown,4th Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
189,1952,9,September,Unknown,1950s,2nd Semester,Unknown,4th Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
190,1952,1,January,28,1950s,1st Semester,Winter,1st Quarter,2,Monday,Unknown,Unknown,Unknown
191,1952,8,August,15,1950s,2nd Semester,Summer,3rd Quarter,6,Friday,Unknown,Unknown,Unknown
192,1952,12,December,4,1950s,2nd Semester,Fall,4th Quarter,5,Thursday,Unknown,Unknown,Unknown
193,1952,10,October,27,1950s,2nd Semester,Fall,4th Quarter,2,Monday,Unknown,Unknown,Unknown
194,1952,11,November,26,1950s,2nd Semester,Fall,4th Quarter,4,Wednesday,Unknown,Unknown,Unknown
195,1953,5,May,6,1950s,1st Semester,Spring,2nd Quarter,4,Wednesday,13:16,13,16
196,1953,9,September,10,1950s,2nd Semester,Summer,4th Quarter,5,Thursday,06:06,6,6
197,1953,8,August,12,1950s,2nd Semester,Summer,3rd Quarter,4,Wednesday,09:23,9,23
198,1953,1,January,31,1950s,1st Semester,Winter,1st Quarter,7,Saturday,Unknown,Unknown,Unknown
199,1953,1,January,Unknown,1950s,1st Semester,Unknown,1st Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
200,1953,12,December,6,1950s,2nd Semester,Fall,4th Quarter,1,Sunday,22:05,22,5
201,1953,7,July,Unknown,1950s,2nd Semester,Unknown,3rd Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
202,1953,3,March,Unknown,1950s,1st Semester,Unknown,2nd Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
203,1953,10,October,Unknown,1950s,2nd Semester,Unknown,4th Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
204,1953,2,February,Unknown,1950s,1st Semester,Unknown,1st Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
205,1953,6,June,Unknown,1950s,2nd Semester,Unknown,3rd Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
206,1954,9,September,9,1950s,2nd Semester,Summer,4th Quarter,5,Thursday,01:04,1,4
207,1954,6,June,10,1950s,2nd Semester,Spring,3rd Quarter,5,Thursday,Unknown,Unknown,Unknown
208,1954,12,December,30,1950s,2nd Semester,Fall,4th Quarter,5,Thursday,Unknown,Unknown,Unknown
209,1954,1,January,11,1950s,1st Semester,Winter,1st Quarter,2,Monday,Unknown,Unknown,Unknown
210,1954,1,January,12,1950s,1st Semester,Winter,1st Quarter,3,Tuesday,Unknown,Unknown,Unknown
211,1954,10,October,5,1950s,2nd Semester,Summer,4th Quarter,3,Tuesday,Unknown,Unknown,Unknown
212,1954,7,July,Unknown,1950s,2nd Semester,Unknown,3rd Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
213,1954,8,August,Unknown,1950s,2nd Semester,Unknown,3rd Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
